model,train_type,train_data,architecture,model_class,task_cluster,model_display_name,description,model_source,model_source_url,weights_url,model_string,compare_training,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_goal_expertise,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
eca_nfnet_l0,random,,eca_nfnet_l0,Convolutional,Semantic,ECA-NFNeT-L0,"ECA-NFNeT-L0 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,eca_nfnet_l0_random,random,,,,,,,,,
efficientnet_b1,random,,efficientnet_b1,Convolutional,Semantic,EfficientNet-B1,"EfficientNet-B1 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,efficientnet_b1_random,random,,,,,,,,,
efficientnet_b3,random,,efficientnet_b3,Convolutional,Semantic,EfficientNet-B3,"EfficientNet-B3 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,efficientnet_b3_random,random,,,,,,,,,
ghostnet_100,random,,ghostnet_100,Convolutional,Semantic,GhostNet100,"GhostNet100 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,ghostnet_100_random,random,,,,,,,,,
gmixer_24_224,random,,gmixer_24_224,Convolutional,Semantic,GMixer-24,"GMixer-24 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,gmixer_24_224_random,random,,,,,,,,,
gmlp_s16_224,random,,gmlp_s16_224,Convolutional,Semantic,GMLP-S16,"GMLP-S16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,gmlp_s16_224_random,random,,,,,,,,,
hardcorenas_a,random,,hardcorenas_a,Convolutional,Semantic,HardCoreNAS-A,"HardCoreNAS-A randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,hardcorenas_a_random,random,,,,,,,,,
hardcorenas_f,random,,hardcorenas_f,Convolutional,Semantic,HardCoreNAS-F,"HardCoreNAS-F randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,hardcorenas_f_random,random,,,,,,,,,
jx_nest_tiny,random,,jx_nest_tiny,Transformer,Semantic,JX-NesT-Tiny,"JX-NesT-Tiny randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,jx_nest_tiny_random,random,,,,,,,,,
levit_128,random,,levit_128,Transformer,Semantic,LeViT128,"LeViT128 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,levit_128_random,random,,,,,,,,,
inception_v3,random,,inception_v3,Convolutional,Semantic,Inception-V3,"Inception-V3 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,inception_v3_random,random,,,,,,,,,
mixer_b16_224,random,,mixer_b16_224,MLP-Mixer,Semantic,MLP-Mixer-B16,"MLP-Mixer-B16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,mixer_b16_224_random,random,,,,,,,,,
mixer_l16_224,random,,mixer_l16_224,MLP-Mixer,Semantic,MLP-Mixer-L16,"MLP-Mixer-L16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,mixer_l16_224_random,random,,,,,,,,,
mobilenetv3_large_100,random,,mobilenetv3_large_100,Convolutional,Semantic,MobileNet-V3-Large,"MobileNet-V3-Large randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,mobilenetv3_large_100_random,random,,,,,,,,,
nf_resnet50,random,,nf_resnet50,Convolutional,Semantic,NF-ResNet50,"NF-ResNet50 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,nf_resnet50_random,random,,,,,,,,,
nfnet_l0,random,,nfnet_l0,Convolutional,Semantic,NF-Net-L0,"NF-Net-L0 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,nfnet_l0_random,random,,,,,,,,,
pit_b_224,random,,pit_b_224,Transformer,Semantic,PiT-B-224,"PiT-B-224 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,pit_b_224_random,random,,,,,,,,,
pit_ti_224,random,,pit_ti_224,Transformer,Semantic,PiT-T-224,"PiT-T-224 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,pit_ti_224_random,random,,,,,,,,,
poolformer_s36,random,,poolformer_s36,Transformer,Semantic,PoolFormer-S36,"PoolFormer-S36 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,poolformer_s36_random,random,,,,,,,,,
pit_ti_224,random,,pit_ti_224,Transformer,Semantic,PiT-T-224,"PiT-T-224 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,pit_ti_224_random,random,,,,,,,,,
regnetx_064,random,,regnetx_064,Convolutional,Semantic,RegNetX-64,"RegNetX-64 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,regnetx_064_random,random,,,,,,,,,
regnety_064,random,,regnety_064,Convolutional,Semantic,RegNetY-64,"RegNetY-64 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,regnety_064_random,random,,,,,,,,,
resmlp_12_224,random,,resmlp_12_224,MLP-Mixer,Semantic,ResMLP-12,"ResMLP-12 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,resmlp_12_224_random,random,,,,,,,,,
resmlp_24_224,random,,resmlp_24_224,MLP-Mixer,Semantic,ResMLP-24,"ResMLP-24 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,resmlp_24_224_random,random,,,,,,,,,
resmlp_36_224,random,,resmlp_36_224,MLP-Mixer,Semantic,ResMLP-36,"ResMLP-36 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,resmlp_36_224_random,random,,,,,,,,,
resmlp_big_24_224,random,,resmlp_big_24_224,MLP-Mixer,Semantic,ResMLP-Big-24,"ResMLP-Big-24 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,resmlp_big_24_224_random,random,,,,,,,,,
semnasnet_100,random,,semnasnet_100,Convolutional,Semantic,SemNASNet100,"SemNASNet100 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,semnasnet_100_random,random,,,,,,,,,
seresnext50_32x4d,random,,seresnext50_32x4d,Convolutional,Semantic,SEResNext50-32x4D,"SEResNext50-32x4D randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,seresnext50_32x4d_random,random,,,,,,,,,
skresnext50_32x4d,random,,skresnext50_32x4d,Convolutional,Semantic,SKResNext50-32x4D,"SKResNext50-32x4D randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,skresnext50_32x4d_random,random,,,,,,,,,
swin_base_patch4_window7_224,random,,swin_base_patch4_window7_224,Transformer,Semantic,Swin-B-P4-W7,"Swin-B-P4-W7 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,swin_base_patch4_window7_224_random,random,,,,,,,,,
swin_large_patch4_window7_224,random,,swin_large_patch4_window7_224,Transformer,Semantic,Swin-L-P4-W7,"Swin-L-P4-W7 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,swin_large_patch4_window7_224_random,random,,,,,,,,,
swin_tiny_patch4_window7_224,random,,swin_tiny_patch4_window7_224,Transformer,Semantic,Swin-T-P4-W7,"Swin-T-P4-W7 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,swin_tiny_patch4_window7_224_random,random,,,,,,,,,
tnt_s_patch16_224,random,,tnt_s_patch16_224,Transformer,Semantic,TnT-P16-224,"TnT-P16-224 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,tnt_s_patch16_224_random,random,,,,,,,,,
visformer_small,random,,visformer_small,Transformer,Semantic,Visformer,"Visformer randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,visformer_small_random,random,,,,,,,,,
vit_large_patch16_224,random,,vit_large_patch16_224,Transformer,Semantic,ViT-L-P16,"ViT-L-P16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,vit_large_patch16_224_random,random,,,,,,,,,
vit_small_patch16_224,random,,vit_small_patch16_224,Transformer,Semantic,ViT-S-P16,"ViT-S-P16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,vit_small_patch16_224_random,random,,,,,,,,,
vit_tiny_patch16_224,random,,vit_tiny_patch16_224,Transformer,Semantic,ViT-T-P16,"ViT-T-P16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,vit_tiny_patch16_224_random,random,,,,,,,,,
vit_base_patch16_224,random,,vit_base_patch16_224,Transformer,Semantic,ViT-B-P16,"ViT-B-P16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,vit_base_patch16_224_random,random,,,,,,,,,
vit_base_patch32_224,random,,vit_base_patch32_224,Transformer,Semantic,ViT-B-P32,"ViT-B-P32 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,vit_base_patch32_224_random,random,,,,,,,,,
vit_small_patch32_224,random,,vit_small_patch32_224,Transformer,Semantic,ViT-S-P32,"ViT-S-P32 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,vit_small_patch32_224_random,random,,,,,,,,,
xception,random,,xception,Convolutional,Semantic,XCeption,"XCeption randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,xception_random,random,,,,,,,,,
xcit_nano_12_p8_224,random,,xcit_nano_12_p8_224,Transformer,Semantic,XCIT-N-12-P8,"XCIT-N-12-P8 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,xcit_nano_12_p8_224_random,random,,,,,,,,,
xcit_nano_12_p16_224,random,,xcit_nano_12_p16_224,Transformer,Semantic,XCIT-N-12-P16,"XCIT-N-12-P16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,,xcit_nano_12_p16_224_random,random,,,,,,,,,
RN50,clip,openai400M,ResNet50,Convolutional,Vision-Language,CLiP-ResNet50,"CLiP-ResNet50, a hybrid vision-language model.",clip,https://github.com/openai/CLIP,,RN50_clip,,,,,,,,,,
RN101,clip,openai400M,ResNet101,Convolutional,Vision-Language,CLiP-ResNet101,"CLiP-ResNet101, a hybrid vision-language model.",clip,https://github.com/openai/CLIP,,RN101_clip,,,,,,,,,,
ViT-B/32,clip,openai400M,ViT-B/32,Transformer,Vision-Language,CLiP-ViT-B/32,"CLiP-ViT-B/32, a hybrid vision-language model.",clip,https://github.com/openai/CLIP,,ViT-B/32_clip,,,,,,,,,,
ViT-B/16,clip,openai400M,ViT-B/16,Transformer,Vision-Language,CLiP-ViT-B/32,"CLiP-ViT-B/32, a hybrid vision-language model.",clip,https://github.com/openai/CLIP,,ViT-B/16_clip,,,,,,,,,,
ViT-L/14,clip,openai400M,ViT-L/14,Transformer,Vision-Language,CLiP-ViT-L/14,"CLiP-ViT-L/14, a hybrid vision-language model.",clip,https://github.com/openai/CLIP,,ViT-L/14_clip,,,,,,,,,,
ResNet50-JigSaw-P100,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-JigSaw-P100,"ResNet50-JigSaw-P100, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/,https://dl.fbaipublicfiles.com/vissl/model_zoo/jigsaw_rn50_in1k_ep105_perm2k_jigsaw_8gpu_resnet_17_07_20.db174a43/model_final_checkpoint_phase104.torch,ResNet50-JigSaw-P100_selfsupervised,,,,,,,,JigSaw-P100,Non-Contrastive,
ResNet50-JigSaw-Goyal19,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-JigSaw-Goyal19,"ResNet50-JigSaw-Goyal19, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/,https://dl.fbaipublicfiles.com/vissl/model_zoo/converted_vissl_rn50_jigsaw_in1k_goyal19.torch,ResNet50-JigSaw-Goyal19_selfsupervised,,,,,,,,JigSaw-Goyal19,Non-Contrastive,
ResNet50-RotNet,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-RotNet,"ResNet50-RotNet, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/,https://dl.fbaipublicfiles.com/vissl/model_zoo/rotnet_rn50_in1k_ep105_rotnet_8gpu_resnet_17_07_20.46bada9f/model_final_checkpoint_phase125.torch,ResNet50-RotNet_selfsupervised,,,,,,,,RotNet,Non-Contrastive,
ResNet50-ClusterFit-16K-RotNet,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-ClusterFit-16K-RotNet,"ResNet50-ClusterFit-16K-RotNet, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/,https://dl.fbaipublicfiles.com/vissl/model_zoo/converted_vissl_rn50_rotnet_16kclusters_in1k_ep105.torch,ResNet50-ClusterFit-16K-RotNet_selfsupervised,,,,,,,,ClusterFit-16K-RotNet,Non-Contrastive,
ResNet50-PIRL,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-PIRL,"ResNet50-PIRL, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/,https://dl.fbaipublicfiles.com/vissl/model_zoo/pirl_jigsaw_4node_pirl_jigsaw_4node_resnet_22_07_20.34377f59/model_final_checkpoint_phase799.torch,ResNet50-PIRL_selfsupervised,,,,,,,,PIRL,Contrastive,
ResNet50-SimCLR,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-SimCLR,"ResNet50-SimCLR, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/,https://dl.fbaipublicfiles.com/vissl/model_zoo/simclr_rn50_1000ep_simclr_8node_resnet_16_07_20.afe428c7/model_final_checkpoint_phase999.torch,ResNet50-SimCLR_selfsupervised,,,,,,,,SimCLR,Contrastive,
ResNet50-DeepClusterV2-2x224+6x96,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-DeepClusterV2,"ResNet50-DeepClusterV2-2x224+6x96, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/,https://dl.fbaipublicfiles.com/vissl/model_zoo/deepclusterv2_800ep_pretrain.pth.tar,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,,,,,,,,DeepClusterV2-2x224+6x96,Contrastive,
ResNet50-SwAV-BS4096-2x224+6x96,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-SwAV-BS4096,"ResNet50-SwAV-BS4096-2x224+6x96, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/,https://dl.fbaipublicfiles.com/vissl/model_zoo/swav_8node_2x224_rn50_in1k_swav_8node_resnet_30_07_20.c8fd7169/model_final_checkpoint_phase399.torch,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,,,,,,,,SwAV-BS4096-2x224+6x96,Contrastive,
ResNet50-MoCoV2-BS256,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-MoCoV2-BS256,"ResNet50-MoCoV2-BS256, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/,https://dl.fbaipublicfiles.com/vissl/model_zoo/moco_v2_1node_lr.03_step_b32_zero_init/model_final_checkpoint_phase199.torch,ResNet50-MoCoV2-BS256_selfsupervised,,,,,,,,MoCoV2-BS256,Contrastive,
ResNet50-BarlowTwins-BS2048,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-BarlowTwins-BS2048,"ResNet50-BarlowTwins-BS2048, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/, https://dl.fbaipublicfiles.com/vissl/model_zoo/barlow_twins/barlow_twins_32gpus_4node_imagenet1k_1000ep_resnet50.torch,ResNet50-BarlowTwins-BS2048_selfsupervised,,,,,,,,BarlowTwins-BS2048,Contrastive,
dino_vitb16,selfsupervised,imagenet,vitb16,Transformer,SelfSupervised,Dino-VIT-B16,Dino-VIT-B16 trained via self supervision with the ImageNet dataset.,dino,https://github.com/facebookresearch/dino,,dino_vitb16_selfsupervised,,,,,,,,,,
dino_resnet50,selfsupervised,imagenet,resnet50,Convolutional,SelfSupervised,Dino-ResNet50,Dino-ResNet50 trained via self supervision with the ImageNet dataset.,dino,https://github.com/facebookresearch/dino,,dino_resnet50_selfsupervised,,,,,,,,,,
DPT_Hybrid,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",DPT_Hybrid,Transformer,MonocularDepth,DPT-Hybrid,"DPT-Hybrid, a monocular depth estimation model.",midas,https://github.com/isl-org/MiDaS,,DPT_Hybrid_monoculardepth,,,,,,,,,,
MiDaS,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",MiDaS,,MonocularDepth,MiDaS,"MiDaS, a monocular depth estimation model.",midas,https://github.com/isl-org/MiDaS,,MiDaS_monoculardepth,,,,,,,,,,
yolov5l,yolo,"coco,voc",yolov5l,Convolutional,Detection,YOLO-V5-L,"YOLO-V5-L, an object detection model.",yolo,https://github.com/ultralytics/yolov5,,yolov5l_yolo,,,,,,,,,,
yolov5m,yolo,"coco,voc",yolov5m,Convolutional,Detection,YOLO-V5-M,"YOLO-V5-M, an object detection model.",yolo,https://github.com/ultralytics/yolov5,,yolov5m_yolo,,,,,,,,,,
yolov5s,yolo,"coco,voc",yolov5s,Convolutional,Detection,YOLO-V5-S,"YOLO-V5-S, an object detection model.",yolo,https://github.com/ultralytics/yolov5,,yolov5s_yolo,,,,,,,,,,
faster_rcnn_R_50_FPN_3x,detection,coco2017,faster_rcnn_R_50_FPN_3x,Convolutional,Detection|Segmentation,Faster-RCNN-ResNet50-FPN,"Faster-RCNN-ResNet50-FPN, trained on detection with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-Detection/faster_rcnn_R_50_FPN_3x.yaml,faster_rcnn_R_50_FPN_3x_detection,,,,,,,,,,
retinanet_R_50_FPN_3x,detection,coco2017,retinanet_R_50_FPN_3x,Convolutional,Detection|Segmentation,RetinaNet-ResNet50-FPN,"RetinaNet-ResNet50-FPN, trained on detection with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-Detection/retinanet_R_50_FPN_3x.yaml,retinanet_R_50_FPN_3x_detection,,,,,,,,,,
mask_rcnn_R_50_FPN_3x,segmentation,coco2017,mask_rcnn_R_50_FPN_3x,Convolutional,Detection|Segmentation,Mask-RCNN-ResNet50-FPN,"Mask-RCNN-ResNet50-FPN, trained on segmentation with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-InstanceSegmentation/mask_rcnn_R_50_FPN_3x.yaml,mask_rcnn_R_50_FPN_3x_segmentation,,,,,,,,,,
keypoint_rcnn_R_50_FPN_3x,segmentation,coco2017,keypoint_rcnn_R_50_FPN_3x,Convolutional,Detection|Segmentation,Keypoint-RCNN-ResNet50-FPN,"Keypoint-RCNN-ResNet50-FPN, trained on segmentation with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-Keypoints/keypoint_rcnn_R_50_FPN_3x.yaml,keypoint_rcnn_R_50_FPN_3x_segmentation,,,,,,,,,,
convnext_base_in22k,classification,imagenet21k,convnext_base,Convolutional,Semantic,ConvNext-Base-IN21K,ConvNext-Base-IN21K trained on image classification with the ImageNet21K dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,convnext_base_in22k_classification,,,,,,,,,,imagenet21k
convnext_large_in22k,classification,imagenet21k,convnext_large,Convolutional,Semantic,ConvNext-Large-IN21K,ConvNext-Large-IN21K trained on image classification with the ImageNet21K dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,convnext_large_in22k_classification,,,,,,,,,,imagenet21k
mixer_b16_224_in21k,classification,imagenet21k,mixer_b16_224,MLP-Mixer,Semantic,Mixer-B16-IN22K,Mixer-B16-IN22K trained on image classification with the ImageNet21K dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,mixer_b16_224_in21k_classification,,,,,,,,,,imagenet21k
mixer_l16_224_in21k,classification,imagenet21k,mixer_l16_224,MLP-Mixer,Semantic,Mixer-L16-IN22K,Mixer-L16-IN22K trained on image classification with the ImageNet21K dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,mixer_l16_224_in21k_classification,,,,,,,,,,imagenet21k
swin_base_patch4_window7_224_in22k,classification,imagenet21k,swin_base_patch4_window7_224,Transformer,Semantic,Swin-B-P4-W7-IN21K,Swin-B-P4-W7-IN21K trained on image classification with the ImageNet21K dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,swin_base_patch4_window7_224_in22k_classification,,,,,,,,,,imagenet21k
swin_large_patch4_window7_224_in22k,classification,imagenet21k,swin_large_patch4_window7_224,Transformer,Semantic,Swin-L-P4-W7-IN21K,Swin-L-P4-W7-IN21K trained on image classification with the ImageNet21K dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,swin_large_patch4_window7_224_in22k_classification,,,,,,,,,,imagenet21k
resmlp_big_24_224_in22ft1k,classification,imagenet21k,resmlp_big_24_224,MLP-Mixer,Semantic,ResMLP-Big-24-IN21K,ResMLP-Big-24-IN21K trained on image classification with the ImageNet21K dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,resmlp_big_24_224_in22ft1k_classification,,,,,,,,,,imagenet21k
vit_base_r50_s16_224_in21k,classification,imagenet21k,vit_base_r50_s16_224,Transformer,Semantic,ViT-B-R50-S16-IN21K,ViT-B-R50-S16-IN21K trained on image classification with the ImageNet21K dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,vit_base_r50_s16_224_in21k_classification,,,,,,,,,,
vit_base_patch16_224_in21k,classification,imagenet21k,vit_base_patch16_224,Transformer,Semantic,ViT-B-P16-IN21K,ViT-B-P16-IN21K trained on image classification with the ImageNet21K dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,vit_base_patch16_224_in21k_classification,,,,,,,,,,imagenet21k
vit_small_patch16_224_in21k,classification,imagenet21k,vit_small_patch16_224,Transformer,Semantic,ViT-S-P16-IN21K,ViT-S-P16-IN21K trained on image classification with the ImageNet21K dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,vit_small_patch16_224_in21k_classification,,,,,,,,,,imagenet21k
vit_large_patch16_224_in21k,classification,imagenet21k,vit_large_patch16_224,Transformer,Semantic,ViT-L-P16-IN21K,ViT-L-P16-IN21K trained on image classification with the ImageNet21K dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,vit_large_patch16_224_in21k_classification,,,,,,,,,,imagenet21k
vit_base_patch32_224_in21k,classification,imagenet21k,vit_base_patch32_224,Transformer,Semantic,ViT-B-P32-IN21K,ViT-B-P32-IN21K trained on image classification with the ImageNet21K dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,vit_base_patch32_224_in21k_classification,,,,,,,,,,imagenet21k
vit_small_patch32_224_in21k,classification,imagenet21k,vit_small_patch32_224,Transformer,Semantic,ViT-S-P32-IN21K,ViT-S-P32-IN21K trained on image classification with the ImageNet21K dataset.,timm,https://github.com/rwightman/pytorch-image-models/,,vit_small_patch32_224_in21k_classification,,,,,,,,,,imagenet21k
ViT-S-SimCLR,slip,YFCC15M,ViT-S,Transformer,SelfSupervised,ViT-S-SimCLR,ViT-S-SimCLR trained via pure self-supervision with the YFCC15M dataset.,slip,https://github.com/facebookresearch/slip,,ViT-S-SimCLR_slip,,,SimCLR,,,,,,,
ViT-S-CLIP,slip,YFCC15M,ViT-S,Transformer,Vision-Language,ViT-S-CLIP,ViT-S-CLIP trained via pure language supervision with the YFCC15M dataset.,slip,https://github.com/facebookresearch/slip,,ViT-S-CLIP_slip,,,CLIP,,,,,,,
ViT-S-SLIP,slip,YFCC15M,ViT-S,Transformer,Vision-Language,ViT-S-SLIP,ViT-S-SLIP trained via combined self- and language supervision with the YFCC15M dataset.,slip,https://github.com/facebookresearch/slip,,ViT-S-SLIP_slip,,,SLIP,,,,,,,
ViT-B-SimCLR,slip,YFCC15M,ViT-B,Transformer,SelfSupervised,ViT-B-SimCLR,ViT-B-SimCLR trained via pure self-supervision with the YFCC15M dataset.,slip,https://github.com/facebookresearch/slip,,ViT-B-SimCLR_slip,,,SimCLR,,,,,,,
ViT-B-CLIP,slip,YFCC15M,ViT-B,Transformer,Vision-Language,ViT-B-CLIP,ViT-B-CLIP trained via pure language supervision with the YFCC15M dataset.,slip,https://github.com/facebookresearch/slip,,ViT-B-CLIP_slip,,,CLIP,,,,,,,
ViT-B-SLIP,slip,YFCC15M,ViT-B,Transformer,Vision-Language,ViT-B-SLIP,ViT-B-SLIP trained via combined self- and language supervision with the YFCC15M dataset.,slip,https://github.com/facebookresearch/slip,,ViT-B-SLIP_slip,,,SLIP,,,,,,,
ViT-L-SimCLR,slip,YFCC15M,ViT-L,Transformer,SelfSupervised,ViT-L-SimCLR,ViT-L-SimCLR trained via pure self-supervision with the YFCC15M dataset.,slip,https://github.com/facebookresearch/slip,,ViT-L-SimCLR_slip,,,SimCLR,,,,,,,
ViT-L-CLIP,slip,YFCC15M,ViT-L,Transformer,Vision-Language,ViT-L-CLIP,ViT-L-CLIP trained via pure language supervision with the YFCC15M dataset.,slip,https://github.com/facebookresearch/slip,,ViT-L-CLIP_slip,,,CLIP,,,,,,,
ViT-L-SLIP,slip,YFCC15M,ViT-L,Transformer,Vision-Language,ViT-L-SLIP,ViT-L-SLIP trained via combined self- and language supervision with the YFCC15M dataset.,slip,https://github.com/facebookresearch/slip,,ViT-L-SLIP_slip,,,SLIP,,,,,,,
ViT-L-CLIP-CC12M,slip,YFCC15M,ViT-L,Transformer,Vision-Language,ViT-L-CLIP-CC12M,ViT-L-CLIP-CC12M trained via pure language supervision with the YFCC15M dataset.,slip,https://github.com/facebookresearch/slip,,ViT-L-CLIP-CC12M_slip,,,,,,,,,,
ViT-L-SLIP-CC12M,slip,YFCC15M,ViT-L,Transformer,Vision-Language,ViT-L-SLIP-CC12M,ViT-L-SLIP-CC12M trained via combined self- and language supervision with the YFCC15M dataset.,slip,https://github.com/facebookresearch/slip,,ViT-L-SLIP-CC12M_slip,,,,,,,,,,
RegNet-32Gf-SEER,seer,random1B,RegNet-32Gf,Convolutional,SelfSupervised,RegNet-32Gf-SEER,RegNet-32Gf trained via large-scale self-supervision on 1 billion images.,seer,https://github.com/facebookresearch/vissl/blob/main/MODEL_ZOO.md#seer,,RegNet-32Gf-SEER_seer,,,,,,,,,,
RegNet-32Gf-SEER-INFT,seer,random1B,RegNet-32Gf,Convolutional,SelfSupervised,RegNet-32Gf-SEER-INFT,RegNet-32Gf trained via large-scale self-supervision on 1 billion images.,seer,https://github.com/facebookresearch/vissl/blob/main/MODEL_ZOO.md#seer,,RegNet-32Gf-SEER-INFT_seer,,,,,,,,,,
RegNet-64Gf-SEER,seer,random1B,RegNet-64Gf,Convolutional,SelfSupervised,RegNet-64Gf-SEER,RegNet-64Gf trained via large-scale self-supervision on 1 billion images.,seer,https://github.com/facebookresearch/vissl/blob/main/MODEL_ZOO.md#seer,,RegNet-64Gf-SEER_seer,,,,,,,,,,
RegNet-64Gf-SEER-INFT,seer,random1B,RegNet-64Gf,Convolutional,SelfSupervised,RegNet-64Gf-SEER-INFT,RegNet-64Gf trained via large-scale self-supervision on 1 billion images.,seer,https://github.com/facebookresearch/vissl/blob/main/MODEL_ZOO.md#seer,,RegNet-64Gf-SEER-INFT_seer,,,,,,,,,,
